job_dir,model,dataset,filename,vad,chunked,mean_wer,n_songs,insertions,deletions,substitutions
whisper_large_v3/musdb_alt_stems,openai/whisper-large-v3,musdb_alt,vocals.wav,False,False,0.5569206942817159,39,2251,492,2542
canary_1b_v2/musdb_alt_stems,nvidia/canary-1b-v2,musdb_alt,vocals.wav,False,False,0.5622524139145911,39,1431,820,2912
parakeet_tdt_0.6b_v3/musdb_alt_stems,nvidia/parakeet-tdt-0.6b-v3,musdb_alt,vocals.wav,False,False,0.5850420192357485,39,843,1817,2702
parakeet_tdt_0.6b_v3/musdb_alt_stems_vad,nvidia/parakeet-tdt-0.6b-v3,musdb_alt,vocals.wav,True,False,0.6020947634917179,39,955,1448,3069
canary_1b_v2/musdb_alt_stems_vad,nvidia/canary-1b-v2,musdb_alt,vocals.wav,True,False,0.6051376759521809,39,1001,1326,3220
parakeet_tdt_0.6b_v3/musdb_alt_stems_vad_chunked,nvidia/parakeet-tdt-0.6b-v3,musdb_alt,vocals.wav,True,True,0.6073354096030268,39,1117,1430,3078
canary_1b_v2/musdb_alt_stems_vad_chunked,nvidia/canary-1b-v2,musdb_alt,vocals.wav,True,True,0.6093801410382064,39,1180,1325,3158
parakeet_tdt_0.6b_v3/jam_alt_mix,nvidia/parakeet-tdt-0.6b-v3,jam-alt,audio.mp3,False,False,0.6107858576749552,79,2259,2172,6500
whisper_large_v3/musdb_alt_stems_vad_chunked,openai/whisper-large-v3,musdb_alt,vocals.wav,True,True,0.6112968687194293,39,1456,1222,2862
parakeet_tdt_0.6b_v3/jam_alt_sep,nvidia/parakeet-tdt-0.6b-v3,jam-alt,htdemucs_ft_vocals.wav,False,False,0.617305990183854,79,2276,2455,6241
whisper_large_v3/musdb_alt_stems_vad,openai/whisper-large-v3,musdb_alt,vocals.wav,True,False,0.6278310521843553,35,1252,1023,2120
whisper_large_v3/jam_alt_mix,openai/whisper-large-v3,jam-alt,audio.mp3,False,False,0.6435653178043529,79,5010,708,5442
parakeet_tdt_0.6b_v3/final_test_mix,nvidia/parakeet-tdt-0.6b-v3,final_test,audio.mp3,False,False,0.6499008470597788,1751,53321,78750,177344
parakeet_tdt_0.6b_v3/final_test_sep,nvidia/parakeet-tdt-0.6b-v3,final_test,htdemucs_ft_vocals.wav,False,False,0.6514674285630231,1730,49890,82941,174877
parakeet_tdt_0.6b_v3/jam_alt_mix_cross_vad,nvidia/parakeet-tdt-0.6b-v3,jam-alt,audio.mp3,True,False,0.6586484281198824,79,1995,2765,6917
parakeet_tdt_0.6b_v3/jam_alt_sep_vad,nvidia/parakeet-tdt-0.6b-v3,jam-alt,htdemucs_ft_vocals.wav,True,False,0.6632707408561537,79,2035,2532,7218
parakeet_tdt_0.6b_v3/musdb_alt_stems_chunked,nvidia/parakeet-tdt-0.6b-v3,musdb_alt,vocals.wav,False,True,0.6654684388712128,39,2888,304,3100
parakeet_tdt_0.6b_v3/jam_alt_sep_vad_chunked,nvidia/parakeet-tdt-0.6b-v3,jam-alt,htdemucs_ft_vocals.wav,True,True,0.6755666381407708,79,2418,2499,7278
parakeet_tdt_0.6b_v3/musdb_alt_mix_cross_vad_stems,nvidia/parakeet-tdt-0.6b-v3,musdb_alt,mixture.wav,True,False,0.6757101582475149,39,640,2195,3361
